Date,County,Active Dem,Active Rep,Active Uaf,Total Active,Inactive Dem,Inactive Rep,Inactive Uaf,Total Inactive,Grand Total,Year,Month,Label,Active Dem_change,Active Rep_change,Active Uaf_change,Total Active_change,Inactive Dem_change,Inactive Rep_change,Inactive Uaf_change,Total Inactive_change,Grand Total_change
2012-12-28,Baca,662,1101,382,2145,189,311,309,809,2954,2012,dec,REP,0.0,0.0,0.0052631578947368585,0.0009332711152589823,-0.0052631578947368585,-0.009554140127388533,-0.022151898734177222,-0.013414634146341475,-0.0030374620317246137
2012-12-28,Bent,759,783,472,2014,264,182,354,800,2814,2012,dec,Swing,0.005298013245033095,0.0,0.02386117136659438,0.007503751875937992,-0.02583025830258301,-0.04210526315789476,-0.024793388429752095,-0.029126213592232997,-0.0031880977683315104
2012-12-28,Boulder,79915,36233,66604,182752,22110,11285,33388,66783,249535,2012,dec,DEM,-0.02418921559050502,-0.02630871761797271,-0.05712142017865485,-0.03686487796908511,0.10693902072694494,0.09958101919516715,0.1523037100949094,0.12786259541984735,0.0023136339718587973
2012-12-28,Broomfield,10144,11340,12039,33523,2404,2430,4505,9339,42862,2012,dec,DEM,-0.012845465161541503,-0.006222066427131745,-0.03926262868087149,-0.020310947454556083,0.06987093902981756,0.024884015183466834,0.14514489069649206,0.09202525724976618,0.0021510404489129
2012-12-28,Chaffee,2995,4224,3488,10707,613,838,1458,2909,13616,2012,dec,Swing,-0.02506510416666663,-0.03185881274352509,-0.06812717071867491,-0.04213633923778848,0.10053859964093359,0.13858695652173902,0.24615384615384617,0.18107998375964263,-0.001832710211861266
2012-12-28,Cheyenne,147,757,217,1121,54,156,124,334,1455,2012,dec,REP,-0.006756756756756799,0.0026490066225166586,0.03333333333333344,0.007187780772686336,-0.018181818181818188,-0.042944785276073594,-0.10144927536231885,-0.061797752808988804,-0.00953029271613337
2012-12-28,Clear Creek,1912,1831,2065,5808,538,554,1070,2162,7970,2012,dec,DEM,0.0015715034049239573,0.0021893814997262506,0.0029140359397765714,0.002243313201035324,-0.0073800738007380184,-0.01598579040852577,-0.012003693444136654,-0.01188299817184646,-0.0016284604785168355
2012-12-28,Conejos,2182,1596,454,4232,638,358,343,1339,5571,2012,dec,DEM,0.005066789497927271,0.002512562814070307,0.013392857142857206,0.004986938969365973,-0.019969278033794113,-0.011049723756906049,-0.022792022792022748,-0.01832844574780057,-0.0007174887892377191
2012-12-28,Costilla,1386,266,253,1905,440,142,235,817,2722,2012,dec,DEM,-0.09293193717277481,-0.07638888888888884,-0.17320261437908502,-0.10226201696512727,0.4965986394557824,0.15447154471544722,0.34285714285714275,0.38006756756756754,0.0029476787030213725
2012-12-28,Crowley,401,848,290,1539,176,224,280,680,2219,2012,dec,REP,0.0024999999999999467,0.004739336492890933,0.00694444444444442,0.004569190600522299,-0.011235955056179803,-0.004444444444444473,-0.003558718861209953,-0.005847953216374324,0.0013537906137184308
