county,active_dem,active_rep,active_uaf,total_active,inactive_dem,inactive_rep,inactive_uaf,total_inactive,grand_total,year,month
Crowley,432,956,517,1905,40,49,77,166,2071,2017,july
Custer,498,2185,871,3554,35,115,90,240,3794,2017,july
Delta,3561,9548,6867,19976,200,458,698,1356,21332,2017,july
Denver,196577,58002,147628,402207,16982,5913,23578,46473,448680,2017,july
Dolores,337,706,413,1456,37,48,117,202,1658,2017,july
Douglas,43985,99102,77024,220111,3333,7182,7776,18291,238402,2017,july
Eagle,9223,7962,13859,31044,811,761,2141,3713,34757,2017,july
El Paso,83436,161432,145536,390404,11619,15919,27010,54548,444952,2017,july
Elbert,2313,10355,5960,18628,151,492,478,1121,19749,2017,july
Fremont,5127,12094,9843,27064,501,984,1515,3000,30064,2017,july
Garfield,8215,10541,13916,32672,494,666,1902,3062,35734,2017,july
Gilpin,1251,1146,1887,4284,169,135,324,628,4912,2017,july
Grand,2359,4312,3975,10646,150,226,489,865,11511,2017,july
Gunnison,3636,2878,4889,11403,376,360,897,1633,13036,2017,july
Hinsdale,115,419,159,693,9,31,23,63,756,2017,july
Huerfano,2001,1253,1301,4555,148,111,202,461,5016,2017,july
Jackson,109,694,200,1003,30,107,68,205,1208,2017,july
Jefferson,117901,117195,154277,389373,9305,8235,16404,33944,423317,2017,july
Kiowa,139,579,241,959,11,27,31,69,1028,2017,july
Kit Carson,566,2567,1265,4398,58,172,244,474,4872,2017,july
La Plata,12040,11258,13702,37000,1687,1490,2939,6116,43116,2017,july
Lake,1834,812,1512,4158,234,129,343,706,4864,2017,july
Larimer,64031,73196,94373,231600,4076,4256,11109,19441,251041,2017,july
Las Animas,3946,2278,2313,8537,546,405,543,1494,10031,2017,july
Lincoln,387,1687,665,2739,62,145,159,366,3105,2017,july
Logan,1808,5912,3660,11380,229,421,754,1404,12784,2017,july
Mesa,17836,41187,34336,93359,4044,7546,10125,21715,115074,2017,july
Mineral,260,321,158,739,16,26,25,67,806,2017,july
Moffat,855,4368,2347,7570,308,789,970,2067,9637,2017,july
Montezuma,3663,7655,5337,16655,558,739,1201,2498,19153,2017,july
Montrose,4543,12037,8729,25309,257,646,898,1801,27110,2017,july
Morgan,2950,6507,5376,14833,216,305,610,1131,15964,2017,july
Otero,3443,4000,3549,10992,277,222,511,1010,12002,2017,july
Ouray,1146,1301,1405,3852,113,213,232,558,4410,2017,july
Park,2538,5111,4945,12594,257,467,682,1406,14000,2017,july
Phillips,433,1583,724,2740,104,196,156,456,3196,2017,july
Pitkin,4881,2160,5843,12884,624,362,1160,2146,15030,2017,july
Prowers,1398,2987,2019,6404,133,281,439,853,7257,2017,july
Pueblo,42198,25842,32653,100693,2835,1683,4466,8984,109677,2017,july
Rio Blanco,333,2767,867,3967,34,181,246,461,4428,2017,july
Rio Grande,2162,2774,1928,6864,222,279,427,928,7792,2017,july
Routt,5200,4787,7288,17275,580,566,1272,2418,19693,2017,july
Saguache,1651,852,1194,3697,183,81,257,521,4218,2017,july
San Juan,172,137,307,616,22,19,56,97,713,2017,july
San Miguel,2505,929,1952,5386,324,112,393,829,6215,2017,july
Sedgwick,242,890,421,1553,31,90,96,217,1770,2017,july
Summit,6375,4620,9379,20374,1552,1252,3185,5989,26363,2017,july
Teller,2787,8456,6067,17310,336,783,943,2062,19372,2017,july
Washington,277,2204,607,3088,31,140,90,261,3349,2017,july
Weld,38613,63882,64810,167305,3232,4370,7602,15204,182509,2017,july
Yuma,806,3087,1729,5622,67,171,176,414,6036,2017,july
Adams,87751,62511,97273,247535,6413,4356,11445,22214,269749,2017,june
Alamosa,3302,2576,2807,8685,307,213,531,1051,9736,2017,june
Arapahoe,126707,108034,140052,374793,10467,7414,18186,36067,410860,2017,june
Archuleta,2010,4236,2724,8970,353,562,455,1370,10340,2017,june
