Date,County,Year,Month,Label,Active Dem_change,Active Rep_change,Active Uaf_change,Total Active_change,Inactive Dem_change,Inactive Rep_change,Inactive Uaf_change,Total Inactive_change,Grand Total_change,pres_2016_sim_label
2017-07-28,Las Animas,2017,july,Swing,0.0010147133434805775,0.007518796992481258,0.012697022767075294,0.005891363261458782,-0.005464480874316946,0.0,-0.01808318264014464,-0.00862641008626408,0.0037022213327997373,Donald Trump
2017-08-28,Las Animas,2017,aug,Swing,-0.004561581348200727,0.01097453906935919,0.04971897968006922,0.014290734450040919,-0.001831501831501825,-0.007407407407407419,0.007366482504604033,0.0,0.012162296879673072,Donald Trump
2017-09-28,Las Animas,2017,sept,Swing,0.0015274949083503575,0.006513243595310359,0.02471169686985175,0.009354428917888844,-0.007339449541284405,-0.00497512437810943,-0.005484460694698322,-0.0060240963855421326,0.007091500049246634,Donald Trump
2017-10-28,Las Animas,2017,oct,Swing,0.0015251652262329165,0.006039689387402847,0.03416398713826374,0.012013729977116805,-0.012939001848428888,-0.012499999999999956,-0.01838235294117652,-0.014814814814814838,0.008117359413202907,Donald Trump
2016-11-28,Lincoln,2016,nov,REP,0.0,0.013633669235328938,-0.019519519519519468,0.0036350418029806883,0.028169014084507005,-0.011494252873563204,0.13855421686746985,0.05596107055961075,0.010436432637571214,Donald Trump
2016-12-28,Lincoln,2016,dec,REP,-0.0075376884422110315,0.002339181286549641,0.0,0.0003621876131836288,0.0,-0.01744186046511631,-0.01058201058201058,-0.011520737327188946,-0.00125195618153362,Donald Trump
2017-01-28,Lincoln,2017,jan,REP,-0.010126582278481068,0.001166861143523823,0.003062787136294043,0.0,-0.17808219178082196,-0.1597633136094675,-0.14438502673796794,-0.15617715617715622,-0.020996552804763424,Donald Trump
2017-02-28,Lincoln,2017,feb,REP,-0.002557544757033292,-0.002913752913752954,-0.0015267175572518663,-0.0025343953656770113,0.0,0.0,0.0,0.0,-0.0022407170294493906,Donald Trump
2017-03-28,Lincoln,2017,mar,REP,0.002564102564102555,-0.0058445353594389635,0.010703363914372988,-0.0007259528130671987,0.03333333333333344,0.0,0.0,0.005524861878453136,0.0,Donald Trump
2017-04-28,Lincoln,2017,apr,REP,0.002557544757033181,-0.0017636684303351524,-0.00302571860816947,-0.0014529604068289625,0.0,0.0,0.0,0.0,-0.0012832852101379855,Donald Trump
2017-05-28,Lincoln,2017,may,REP,-0.002551020408163241,-0.0011778563015312216,0.0030349013657056108,-0.0003637686431429144,0.0,0.0,0.0,0.0,-0.00032123353678126243,Donald Trump
2017-06-28,Lincoln,2017,june,REP,-0.007672634271099765,-0.004716981132075526,0.004538577912254205,-0.0029112081513827932,0.0,0.021126760563380254,-0.006249999999999978,0.005494505494505475,-0.001928020565552746,Donald Trump
2017-07-28,Lincoln,2017,july,REP,-0.002577319587628857,-0.0005924170616113943,0.001506024096385561,-0.00036496350364967356,0.0,0.0,0.0,0.0,-0.00032195750160979314,Donald Trump
2017-08-28,Lincoln,2017,aug,REP,0.005167958656330685,0.004742145820983978,0.03759398496240607,0.012778386272362273,-0.06451612903225812,-0.020689655172413838,-0.012578616352201257,-0.024590163934426257,0.008373590982286627,Donald Trump
2017-09-28,Lincoln,2017,sept,REP,-0.002570694087403625,0.0,0.0014492753623187582,0.0,0.0,0.0,-0.019108280254777062,-0.008403361344537784,-0.0009581603321622277,Donald Trump
2017-10-28,Lincoln,2017,oct,REP,0.010309278350515427,0.0011799410029498247,-0.00434153400868309,0.00108147080028842,0.0,0.0,0.032467532467532534,0.014124293785310769,0.002557544757033181,Donald Trump
